PlotID_sel,HT,EPH_quantile_0.99_DSM,EPH_soil_0.5_quantile_0.99_PC
2102_4016,48,28.04293841,27.21666667
2102_4017,34,29.52422361,30.73333333
2102_4018,43,30.65989127,32.11
2102_4019,57,38.1763666,39.66666667
2102_4020,48,27.54423636,29.66666667
2102_4021,49,29.93157847,31.66666667
2102_4022,46,31.18035504,31.83333333
2102_4023,31,29.71722667,30.06666667
2102_4024,41,23.87645981,23.53333333
2102_4025,46,36.75544768,37.39333333
2102_4026,49,38.07548985,39.43333333
2102_4027,49,34.20473952,35.12333333
2102_4028,65,47.43899487,49.05666667
2102_4029,58,35.00159487,37.47333333
2102_4030,51,35.64301972,37.6
2102_4031,52,37.05736468,40.36666667
2102_4032,47,27.07365295,26.31
2102_4033,46,28.85714847,30.00333333
2102_4034,50,27.61055287,28.63333333
2102_4035,49,21.30729489,22.13333333
2102_4036,46,22.38688221,20.83333333
2102_4037,35,20.86746952,19.3
2102_4038,49,22.92438346,21.13333333
2102_4039,50,29.45396056,30.99666667
2102_4040,47,28.12420775,30.09
2102_4041,53,28.85681503,29.99666667
2102_4042,52,23.06300858,23.2
2103_1001,43,21.87084514,17.83333333
2103_1002,43,20.18864016,19.5
2103_1003,50,23.16027704,14.42666667
2103_1004,50,18.45932486,11.3
2103_1005,43,27.05456909,28.22666667
2103_1006,50,24.02240894,24.48
2103_1007,43,29.45629797,31.35333333
2103_1008,48,24.8511766,24.73333333
2103_1009,52,28.26984045,30.43333333
2103_1010,54,27.25350257,28.43333333
2103_1011,46,26.28561828,27.5
2103_1012,44,29.35726733,31.7
2103_1013,52,24.98042369,28.8
2103_1014,48,25.01820686,27.1
2103_1015,55,28.79601214,30.82
2103_1016,47,23.57193574,19.53333333
2103_1017,54,28.57480919,32.06666667
2103_1018,47,21.79930406,21.5
2103_1019,51,34.59776846,37.27666667
2103_1020,57,31.30106876,30.94333333
2103_1021,45,25.54327215,23.4
2103_1022,47,23.90753513,25.26666667
2103_1023,39,20.03077135,19.08666667
2103_1024,42,20.35808784,19.26666667
2103_1025,52,33.41305852,35.76666667
2103_1026,52,32.579861,34.66
2103_1027,57,35.47892203,37.77333333
2103_1028,45,27.49081662,30.16
2103_1029,46,28.06059956,27.33333333
2103_1030,48,30.76226546,32.6
2103_1031,44,31.49885361,33
2103_1032,49,33.08329211,34.5
2103_2001,44,22.59171897,22.06666667
2103_2002,49,27.2358602,27.67666667
2103_2003,47,24.22241239,24.86333333
2103_2004,46,23.19175849,23.23333333
2103_2005,50,23.66663567,26.11
2103_2006,48,25.40440581,28.1
2103_2007,49,23.1965381,23.30666667
2103_2008,49,28.76368044,30.06666667
